"crashid","OnLocStreet","AtLocStreet"
"0070051169","CST KEENE ST","CST WINGATE"
"0070047315","CST MARYLAND AVE","PVT CG17"
"0070047327","PVT WC2","MO 763 S"
"0070047834","CST ST CHARLES RD","CRD RICHLAND RD"
"0070051182","CST GRACE ELLEN DR","CRD OAKLAND GRAVEL RD"
"0070051183","CST SADDLEBROOK PL","CST SMILEY LN"
"0070051690","CST BLUFF CREEK DR","CST FALLING LEAF LN"
"0070051693","CST ASH ST","CST BUCKNER ST"
"0070051682","CRD CREASY SPRINGS RD","CRD PROCTOR RD"
"0070052747","CST VICTORIA AVE","CST VICTORIA CT"
"0070058994","CST BERNADETTE","UNKNOWN"
"0070058996","CST GREEN MEADOWS RD","RT AC E"
"0070058956","CST BRICKTON RD","CST CONLEY RD"
"0070062100","CST ASH ST","CST FAIRVIEW RD"
"0070062208","CST THIRD AVE","CST GRAND AVE"
"0070050002","CRD BRAMPTON LN","CRD COUNTRY HILL RD"
"0070062825","CST SMILEY","CST WHITE TIGER"
"0070062846","CST MCBAINE","CST ASH ST W"
"0070046285","CST BROWN SCHOOL","CST OAKLAND GRAVEL"
"0070062854","CST ST CHARLES RD","CST BULL RUN RD"
"0070058961","CST KELSEY DR","CST LAKE OF THE WOODS"
"0070058999","CST BROWN STATION RD","CST COLT RAILROAD"
"0070059005","CST ST CHARLES","CST RICHLAND"
"0070046879","CST FORUM","CST WOODRAIL"
"0070061927","CST TENTH ST","CST ROGERS"
"0070062201","CST CREASY SPRINGS","CST PARK SIDE"
"0070062205","CRD TESSA WAY","CST OLD PLANK"
"0070047828","CST ROGERS ST","CST TENTH ST"
"0070047869","CST FAIRVIEW","CST ASH"
"0070047877","CST BROADFIELD DR","CST WIND RIVER DR"
"0070058974","CST BODIE DR","CST EDDINGTON"
"0070058981","CST STADIUM","CST COTTLE"
"0070062851","CST FORUM BLVD","CST KATY LN"
"0070062856","CST WILKES","CST EIGHT ST"
"0070062874","CST ASH ST","CST EIGHTH ST N"
"0070063298","CRD ROBY FARM RD","RT O"
"0070065130","CST LONDON DR","CST ROEW LN"
"0070065131","CST DOROTHY DEAN DR","CRD CARRIERIDGE DR"
"0070065125","CST NORTH BLVD","CST EIGHTH ST"
"0070062199","CST WORLEY","CST MCBAINE"
"0070062875","CST VANDIVER DR","PP VANDIVER DR"
"0070065127","CST BROWN STATION RD","CST BROWN STATION RD"
"0070051168","CST BERNADETTE DR","CST BEVERLY DR"
"0070051687","CST WORLEY","CST HARDIN"
"0070068005","CST BLACKFOOT RD","CST PARKSIDE DR"
"0070076790","CRD ALAMOS PL","CRD EL CHAPARRAL AVE"
"0070071176","CST PROVIDENCE","CST PANORAMA"
"0070075030","CST CITADEL DR","CST RALEIGH DR"
"0070075367","CRD CARTER SCHOOL RD","CRD RANGELINE RD"
"0070070626","CST BASS PRO DR","CST VANDIVER DR"
"0070079696","CST PARKADE BLVD","CST STONEY LN"
"0070081410","CST UNIVERSITY AVE","PVT UAG"
"0070075366","CRD ELDORADO DR","CRD ALAMOS PL"
"0070073562","CST VANDIVER DR","CST BASS PRO DR"
"0070076308","CST SUGAR CREEK DR","CST DENNINGHOFF RD"
"0070082876","CST GOODWIN POINTE DR","CST EAST POINTE DR"
"0070075037","CST PROCTOR DR","CST BEAR VALLEY CT"
"0070083832","CST BLUE RIDGE","CST OAKLAND GRAVEL"
"0070070585","CST WORLEY","CST FAIRVIEW"
"0070070621","CRD BROWN SCHOOL RD","MO 763"
"0070079727","CRD BROWN SCHOOL RD","CST NATHANIEL"
"0070082891","CST FOREST","CST GARTH"
"0070072268","CST ST CHARLES","CST RICHLAND"
"0070073569","CST WORLEY ST","CST MCBAINE AVE"
"0070084317","CST SOUTHAMPTON","CST BETHEL"
"0070083563","PP AMOS DR","CRD AMOS DR"
"0070084114","CST VANDIVER","CST WESTFALL"
