"crashid","OnLocStreet","AtLocStreet"
"0080038159","CST FOURTH AVE","CST GARTH AVE"
"0080041381","CRD BROWN SCHOOL RD","PP BROWN SCHOOL RD"
"0080040182","CRD SUNNY VALE","CRD SUNDOWN CT"
"0080047652","CST WILKES BLVD","CST SIXTH ST N"
"0080047633","CST TUPELO PL","CST LARCH CT"
"0080051821","CST GODAS DR","CST VALLEY CREEK LN"
"0080051828","CST CHAPEL HILL RD","CST CHAPEL PLAZA CT"
"0080038155","CST BLACKFOOT RD","CST PARKSIDE DR"
"0080038163","CST BROWN STATION RD","UNKNOWN"
"0080047629","CST JACKSON ST","PP JACKSON ST"
"0080047692","CST ROCK QUARRY","CST HINKSON CREEK"
"0080047649","PP STADIUM BLVD PKLT EXIT","WEST OF MO 740"
"0080047684","CST ASH ST","UNKNOWN"
"0080046138","CST WHITEGATE DR","CST TOWNE DR"
"0080055521","CST BERNADETTE DR","CST KNIPP ST"
"0080046575","CST SANFORD","PP LOT WG12"
"0080055502","CST FALLING LEAF LN","CST FALLING LEAF CT"
"0080055523","CST OLD HWY 63","CST WALNUT"
"0080055526","CST TEXAS AVE","CST PARKADE BLVD"
"0080057354","CST WAKEFIELD","CST CHATHAM"
"0080057382","CST CLARK LN","CST EASTWOOD DR"
"0080050482","CRD MCCOMAS RD","CRD LOCUST GROVE RD N"
"0080050484","CST FILLMORE CT","CST FAIRVIEW ST"
"0080051850","CST PRIMROSE","CST PRIMROSE"
"0080041383","CRD OLD NO 7","CRD WILBERT LN"
"0080055090","CST BROWN SCHOOL","CST GREELEY"
"0080055537","CST MAGUIRE BLVD","CST LEMONE INDUSTRIAL BLVD"
"0080055491","CST ASH ST","CST EIGHTH ST"
"0080055501","CST WILKES BLVD","CST EIGHTH ST"
"0080062760","CRD KIRCHER RD","CRD DUSTY RHODES LN"
"0080063418","CST SANTANA CIR","CST SANTANA DR"
"0080056637","CST ROCK QUARRY","CST ZOE LN"
"0080056856","CST DERBY RIDGE DR","CST BLUE RIDGE RD"
"0080055489","CST OLD PLANK RD","CST CAMPUS DR"
"0080057344","CST GARTH AVE","CST BLUE RIDGE RD"
"0080057357","CST ST CHARLES","CST DORADO DR"
"0080058808","CRD CREASY SPRINGS RD","CST PARKSIDE DR S"
"0080056475","CST HITT ST","PVT UNIVERSITY PARKING LOT WC5"
"0080058799","CST BROADWAY BUSINESS PARK CT","CST BROADFIELD DR"
"0080065163","CST GREEN MEADOWS","CST FORUM"
"0080057349","CST GIBSON","CST GARTH"
"0080062800","CST OLD MILL CREEK RD","CRD MILL CREEK CT"
"0080058795","CST CHAPEL HILL","CST CHAPEL PLAZA CT"
"0080068059","CST BLACKFOOT RD","MO 740"
"0080062916","CRD BETHANY DR","CRD BELLVIEW DR"
"0080065134","CST EIGHTH ST","CST HICKMAN AVE"
"0080065141","CST TOWNE DR","CST CLARK LN"
"0080065151","CST ROCK QUARRY","CST HINKSON CREEK"
"0080066444","CST KUNLIN","CST CARPATHIAN"
"0080062823","CRD GEORGETOWN DR","CRD LEXINGTON DR"
"0080069410","CST OLD HWY 63","CST WALNUT ST E"
"0080070445","PVT MARYLAND AVE","MO 740"
"0080070451","CST HITT ST","PVT WC 6"
"0080066499","CST VANDIVER DR","MO 163"
"0080064177","CRD CREASY SPRINGS RD","CRD FENTON RD"
"0080068052","CST MCBAINE AVE","CST UNITY DR"
"0080067203","CST LENOIR ST","UNKNOWN"
"0080062799","CST ROCK QUARRY RD","PP ROCK QUARRY RD"
"0080065157","CST ST CHARLES","CST CLARK"
"0080066445","CST WALNUT ST","CST OLD HWY 63"
"0080068058","CST MEXICO GRAVEL RD","CST WOODARD"
"0080070911","CST WALNUT ST","CST OLD HWY 63 N"
"0080066478","CRD PRATHERSVILLE RD","CST ROGER I WILSON"
"0080066494","CST OLD HWY 63","CST WALNUT ST"
"0080067197","CST NICK CT","CST MCKEE"
"0080077485","CST WESTFALL","CST BROWN STATION"
"0080078065","CST ZINNIA DR","CST HIBISCUS DR"
"0080076561","CST ROCK QUARRY","BRIDGE HINKSON CREEK"
"0080056470","CST UNIVERSITY AVE","CST MATHEWS"
"0080077476","CRD ST CHARLES RD","CST NORICH"
"0080056845","CST WORLEY ST","CST FAIRVIEW RD"
"0080076525","CST GARTH AVE","CST WORLEY ST"
"0080075761","CRD RICHLAND RD","CST GRACE LN"
"0080079616","CST VANDIVER DR","CST OAKLAND GRAVEL RD"
"0080077489","CST BERNADETTE","CST WORLEY"
"0080058842","CST WOODLAWN AVE","CST WORLEY ST"
"0080083061","CST UNIVERSITY AVE","PP UNIVERSITY PKLT WC7"
"0080076526","CST WORLEY","CST MCBAINE"
"0080078062","CST BARBERRY AVE","CST HIBISCUS DR"
"0080084095","CRD CREASY SPRINGS RD","CRD PRAIRIE LN"
"0080079611","CST BAURICHTER DR","CST NIFONG BLVD W"
"0080076545","CST VANDIVER","CST CORPORATE DR"
"0080076548","CST TOWNE DR","CST CLARK LN"
"0080078090","CST HINKSON CREEK RD","CST MEXICO GRAVEL RD"
"0080062717","CRD OLD MILL CREEK RD","RT KK"
"0080063410","CST WEST BLVD","CST WESTWIND"
"0080083907","CST HILL CREEK RD","RT U"
"0080089767","CST BROADWAY","CST KEENE"
"0080084034","CRD CALVERT HILL RD","PP CALVERT HILL RD"
"0080083056","CST ROLLINS ST","PVT MISSOURI"
"0080087257","PP BANK OF AMERICA PKLT EXIT","WEST OF CST OLD HWY 63"
"0080066466","CST BLACKFOOT","CST CEDAR CLIFF"
"0080084093","CRD AKEMAN BRIDGE RD","CRD KMJ RD"
"0080091583","CST SCOTT BLVD","CRD MILLBROOK DR"
"0080093257","CST 7TH ST","PVT PSYCHOLOGY BUILDING DR"
"0080087255","PVT PRIVATE DR","CST OLD PLANK RD"
"0080089778","CST CHAPEL HILL RD","CST MILLS RD"
"0080089781","CST OLD HWY 63","UNKNOWN"
"0080089267","CST WALNUT ST","CST OLD HWY 63"
"0080089273","CST BROWN STATION RD","CST JENNE LN"
"0080090850","CST GARTH AVE","CST WORLEY ST"
"0080090860","CST ARTIC WOLF CT","CST SNOWY OWL DR"
"0080091624","CST SCOTT BLVD","CST FLAGSTONE"
"0080089255","CST SEXTON","CST MIKEL"
"0080085713","CST RICHLAND RD","CST ST CHARLES RD"
"0080089727","CST MEMAR RD","CST EVERT SCHOOL RD"
"0080098349","CST AMAZON DR","MO 163"
"0080091350","CST OLD HWY 63","CST WALNUT"
"0080099117","CST SOUTHHAMPTON DR","CST JOHN GARRY DR"
"0080091604","CST SILVEY","CST SMITHTON RIDGE DR"
"0080071955","CRD AKEMAN BRIDGE RD","RT E"
"0080089732","CST CHAPEL HILL","CST CHAPEL PLAZA CT"
"0080089737","CST BROADWAY","CST BRICKTON RD"
"0080089768","CST OLD HWY 63","CST WALNUT"
"0080097328","CST FOREST ST","CST GARTH ST"
"0080089747","CST ASH ST","CST MCBAINE AVE"
"0080091584","CST TENTH ST","CST ROGERS ST"
"0080102654","CST MEDFORD","UNKNOWN"
"0080102964","CST ASHLAND RD","PVT ASHWOOD MANOR"
"0080100322","CST BROWN STATION RD","CST BROWN STATION RD E"
"0080100336","CST WORLEY ST","CST FAIRVIEW RD N"
"0080091614","CST BROWN SCHOOL RD","CST NATHANIEL DR"
"0080099077","CST GREEN MEADOWS","CST GRINDSTONE PKWY"
"0080092024","CRD ST CHARLES RD","CRD WHITEWATER DR"
"0080076529","CST EL CORTEZ DR","CST BALBOA LN"
"0080076536","CST BERNADETTE","CST TIGER LN"
"0080076552","CST BERNADETTE DR","CST KNIPP DR"
"0080092999","CRD BETHEL CHURCH RD","PP BETHEL CHURCH RD"
"0080106238","PVT VIRGINIA AVE","CST ROLLINS ST"
"0080098318","CST HANOVER BLVD","CST RINEY LN"
"0080098328","CST PORTLAND","CST ALBANY"
"0080102648","CST FAIRVIEW","CST ASH ST W"
"0080102969","CST RICHMOND","CST BURNAM"
"0080103117","CST ST CHARLES","CST RICHLAND"
"0080099085","CST CRUMP DR","CST CLARK LN E"
"0080099087","CST WASHINGTON AVE","CST WILKES BLVD"
"0080101399","CST BROADWAY","CST BRICKTON"
"0080077481","CST GRINDSTONE PKWY","CST FALLING LEAF LN"
"0080077520","CST SEXTON","CST MCBAINE"
"0080077867","CST OLD HWY 63","CST WALNUT ST"
"0080078087","CST BULL RUN DR","CST PORT WAY"
"0080100315","CST CHAPEL HILL","CST MADISON PARK"
"0080108128","CST GODAS CIR","CST GODAS DR"
"0080108326","CST CORPORATE LAKE DR","CST OLD RT K RD"
"0080105148","CST SCOTT BLVD","CST MARKET DR"
"0080098316","CST TRIMBLE RD","CST BROADWAY"
"0080098329","CST FORUM BLVD","CST MILLS DR"
"0080099080","CST PEACHTREE DR","CST PEACH CT"
"0080099082","CST PRESCOTT DR","CST SANTA ROSA CT"
"0080103058","CST VANDIVER","CST BASS PRO DR"
"0080103136","CST MCKEE","CST RIA"
"0080105572","CRD PINEHURST LN","CRD VAIL CT N"
"0080108298","CST CLARK","CST CREEKWOOD PKWY"
"0080108318","CST FORUM BLVD","CST ROYAL BIRKDALE"
"0080105875","CST MILLER LN","CST WOODIE PROCTOR"
"0080106229","CST OLD RT K","MO 163"
"0080106240","PVT EIGHTH ST CIR","CST ELM"
"0080105269","CRD WAGON TRAIL RD","PP WAGON TRAIL RD"
"0080102619","CST LINDY LN","CST WORLEY ST"
"0080102971","CST 6TH ST","CST ELM"
"0080113242","CST RICHMOND AVE","CST BURNAN RD"
"0080113297","CST DEFOE DR","CST FAUROT DR"
"0080106245","PVT HOSPITAL DR","PVT MONK DR"
"0080103231","CRD SANDERS CT","CRD SNEAD DR"
"0080082611","CST MELROSE","PP MELROSE"
"0080114296","CST ROGERS","CST TENTH"
"0080108131","CST BETHEL ST","CST DUSTIN DR"
"0080108134","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0080108140","CST BROADWAY","CST BRICKTON RD"
"0080106242","PVT CHAMPIONS DR","PP M RV PKLT"
"0080109482","CST VENTURA","CST RODEO DR"
"0080113252","CST BRAEMORE","CST HIGHLAND"
"0080108141","CST FAIRVIEW RD","CST ASH ST"
"0080108142","CST VANDIVER DR","CST CENTERSTATE DR"
"0080085588","CRD GILLESPIE BRIDGE RD","UNKNOWN"
"0080085718","CST BLUE CEDAR LN","CST BITTERWOOD"
"0080109477","CST LA MESA DR","CST NORTHHAMPTON DR"
"0080113291","CST CITADEL DR","CST EDENTON BLVD"
"0080113293","CST CONLEY RD","US 63 S"
"0080115884","CRD HIGH POINT LN","RT K"
"0080121096","CST BOUCHELLE","CST LEE"
"0080121101","CST CARTER","CST PROVIDENCE"
"0080121222","CST RANGELINE RD","RT WW E"
"0080123702","CST OLYMPIC CT","CST OLYMPIC BLVD"
"0080113250","CST SCOTTS BLVD","CST COPPERSTONE CREEK"
"0080114300","CST WORLEY","CST GARTH N"
"0080089266","CST QUARRY PARK DR","CST ROCK QUARRY DR N"
"0080114287","CST GREEN MEADOWS","CST GRINDSTONE PKWY"
"0080121224","CST ROGERS ST","CST TENTH ST N"
"0080091591","CST LYON ST","CST EIGHTH ST"
"0080129528","CST BREEDLOVE DR","CST FIDDLE CREEK LN"
"0080121064","CST MAPLE GROVE WAY","CST BETHEL"
"0080130284","CST SEXTON ST","CST KING ST"
"0080130291","CST KING AVE","UNKNOWN"
"0080130296","CST EDENTON BLVD","UNKNOWN"
"0080093000","CRD LAKE OF THE WOODS RD","CRD KELSEY DR"
"0080121214","CST PARIS RD","PP PARIS RD"
"0080093248","PVT CHAMPIONS DR","PVT MICK DEAVER"
"0080123797","CST VANDIVER","CST BASS PRO DR"
"0080121097","CST ASH ST","CST FAIRVIEW"
"0080121910","CST BROADWAY","CST BROADHEAD"
"0080123658","CST ROLLINS ST","CST MAPLEWOODS"
"0080123677","CST GRINDSTONE PKWY","CST FALLING LEAF LN"
"0080123688","CST OLD HWY 63","CST CHINABERRY DR"
"0080123696","CST WILLIAM ST","CST JACK ESTES WAY"
"0080121915","CST ORCHARD LN","CST MCKEE ST"
"0080123719","CST FOURTH ST","CST TURNER AVE"
"0080098319","CST BERNADETTE DR","CST BEVERLY DR"
"0080124389","CST OLD HWY 63","CST CHINABERRY DR"
"0080124400","CST WORLEY","CST FAIRVIEW"
"0080136644","CST WESTWINDS DR","CST ST MICHAEL"
"0080123679","CST BUTTONWOOD DR","CST GRINDSTONE PKWY"
"0080128432","CST FORUM BLVD","CST MILLS"
"0080138118","CST FAIRVIEW","CST BERNADETTE"
"0080101396","CST PROVIDENCE","CST PEACHTREE"
"0080127685","CST CLARK LN","CRD ST CHARLES"
"0080130285","CST ALHAMBRA ST","CST VALENCIA ST"
"0080130290","CST MERCHANT ST","CST CORONA RD"
"0080130273","CST MCKEE ST","CST RIA ST"
"0080130287","CST GREELEY","CST BROWN SCHOOL"
"0080130293","CST FORUM BLVD","CST SOUTHHAMPTON DR W"
"0080143655","CRD CREASY SPRINGS RD","PP CREASY SPRINGS RD"
"0080144114","PP SWERINGEN RD","RT E"
"0080136624","CST JUNIPER DR","CST JUNIPER CIR"
"0080136681","CST OLD HWY 63","CST JACK ESTES"
"0080135146","CST BROWN SCHOOL RD","CST NATHANIEL"
"0080135167","CST FORUM BLVD","CST MILLS DR"
"0080135156","CST PRAIRIEVIEW RD","CST PRAIRIE RD"
"0080108157","CST HUNTRIDGE","CST CARTER LN"
"0080134068","CST FORUM","CST WOODRAIL"
"0080136632","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0080136638","CST ROCK QUARRY","CST ROLLING ROCK"
"0080138111","CST EXECUTIVE DR","CST SOUTHAMPTON"
"0080135165","CST CONLEY RD","US 63"
"0080136629","CST VANDEVENTER DR","CST OAKLAND GRAVEL RD"
"0080136936","CST 6TH ST","CST STEWART RD"
"0080113255","CST ASH","CST EIGHTH ST"
"0080114256","CST STADIUM","CST WORLEY"
"0080136676","CST OLD HWY 63","CST CHINABERRY"
"0080143654","CRD CREASY SPRINGS","CRD SUNNY RIDGE LN"
"0080143473","CRD CREASY SPRINGS RD","CRD SUNNY RIDGE LN"
"0080138123","CST STRAWN","CST ROADWAY"
"0080140591","CST DERBY RIDGE","CRD BROWN SCHOOL RD"
"0080121236","CST WORLEY","PP WALMART PKLT EXIT"
"0080121905","CST HAMPTON","CST JOHN GARRY"
"0080123770","CST ASH ST","CST BUCKNER ST"
"0080123789","CST BRIARCREST CT","CST GREENBRIAR"
"0080143755","CRD NEW HAVEN RD","CRD ROLLING HILLS RD"
"0080128440","CST BROADWAY","CST SHORT"
"0080135609","PVT CAMPUS LOOP","CST ASHLAND RD"
"0080105156","CST BIRTH AVE","CST ASH ST"
"0080136617","CST CONLEY","PP CONLEY RD"
"0080136673","CST GRINDSTONE PKWY","CST BUTTONWOOD DR"
"0080108110","CST PARIS","CST COLLEGE"
"0080108136","CST COLLEGE PARK","CST DARTMOUTH"
"0080108325","CST BOLD VENTURE DR","CST DERBY RIDGE DR"
"0080111981","CST OLD RT K RD","PVT RESEARCH PARK DR"
"0080113243","CST HILL ST","CST BROADWAY"
"0080113244","CST BERNADETTE DR","PP COLUMBIA MALL ENT"
"0080113275","CST OLD HWY 63","CST WALNUT ST E"
"0080117243","CST SCOTT BLVD","CST WALES"
"0080121100","CST WILKES","CST FAY"
"0080121223","CST GARTH","CST FOURTH AVE"
"0080121679","CST HITT ST","PVT HOSPITAL"
"0080123701","CST GREEN MEADOWS","CST FORUM"
"0080123769","CST REDWING","UNKNOWN"
"0080123823","CST TRIMBLE RD","CST BRICKTON RD"
"0080130275","CST COWAN DR","CST ROLLINS ST E"
"0080130277","CST FORUM BLVD","CST MILLS DR"
"0080130297","CST FORUM PLAZA DR","CST FORUM BLVD"
"0080132958","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0080135172","CST FALLWOOD CT","CST CHADWICK DR"
"0080135198","CST EIGHTH","CST COUGAR"
"0080135201","CST OLD HWY 63","CST PARIS"
"3080016550","CRD GILLESPIE BRIDGE RD","CST CHAPEL HILL E"
"0080136618","CST WALNUT","CST NINTH ST"
"0080136649","CST BERNADETTE DR","CST WORLEY ST W"
"0080136670","CST CONLEY","CST BRICKTON"
"0080012268","CST SOUTHAMPTON","CST PEAR TREE"
"0080029600","CST ROCK QUARRY","CST ROLLING ROCK"
"0080037407","CST KEENE ST","CST I - 70 DR"
"0080037417","CST OLD HWY 63","CST WALNUT"
"0080038166","CST GOLDEN TROUT CT","CST RAINBOW TROUT"
"0080039280","CST WINDSOR","CST RIPLEY"
"0080039571","CST HUNT AVE","UNKNOWN"
"0080047625","CST ROCK QUARRY RD","CST ROLLING ROCK"
"0080047685","CST THIRD AVE","CST GARTH"
"0080056634","CST KATY LN","CST MARTINSHIRE DR"
"0080065174","CST WINDMILL CT","CST WATERLOO"
"0080066473","CST SOUTHAMPTON","CST EXECUTIVE"
"0080066476","CST WILKES BLVD","CST SEVENTH ST"
"0080066493","CST OLD PLANK RD","CST BETHEL ST"
"0080068132","CST LIMERICK LN","CST WYNFIELD DR"
"0080079613","CST HATHMAN","RT B"
"0080083066","PP PKLT CR-V1","CST KEENE ST"
"0080084096","CRD BROWN SCHOOL RD","CRD CREASY SPRINGS RD"
"0080089271","CST MEXICO GRAVEL RD","CST TANZANITE DR"
"0080089735","CST FORUM BLVD","CST FORUM PLAZA"
"0080089756","CST KEENE","CST WINGATE"
"0080098347","CST CREASY SPRINGS RD","CST BEAR CREEK TRAIL"
"0080098355","CST KELSEY","CST KELSEY"
"0080101398","CST BERNADETTE","CST HUTCHEN"
"0080102620","CST OLD HWY 63","CST WALNUT ST E"
"0080102644","CST WOODRIDGE","CST SUGAR TREE W"
"0080107752","CST WILLIAM ST","CST ROSEMARY ST"
"0080113247","CST DOROTHY JEAN DR","CST CARRIERIDGE DR"
"0080113261","CST BUTTONWOOD","CST COPPER"
"0080113289","CST VANDIVER","CST BASS PRO DR"
"0080116358","CRD CREASY SPRINGS RD","CRD ROEMER RD"
"0080123680","CST ROUND ROCK DR","CST ROUND ROCK DR"
"0080123687","CST PEAR TREE CIR","CST SOUTHAMPTON DR"
"0080130286","CST BRISTOL LANE PKWY","CST BRISTOL LANE DR"
"0080134074","CST STATE FARM PKWY","CST SOUTHHAMPTON"
"0080135124","CST HIGH QUEST CIR","CST DERBY RIDGE"
"0080135159","CST JACKSON","CST MADISON"
"3080031392","CST HERIFORD DR","CST PARKER DR S"
"0090014500","CST MUIRFIELD DR","CST CHILTON CT"
"0090014491","CST HIGHRIDGE DR","CST MILLS DR"
"0090014591","CST CHAPEL HILL RD","CST ROCK FACE CT"
"0090014620","CST BROADWAY","CST EAST PKWY"
"0090014957","CST CONLEY RD","CST BRICKTON RD"
"0090014993","CST LYNNWOOD DR","CST GREEN MEADOWS DR"
"0090014951","CST KELSEY DR","CRD LAKE OF THE WOODS RD"
"0090015519","CRD BROWN SCHOOL RD","PP BROWN SCHOOL RD"
"0090014610","CST ASH ST","CST BRYAN ST"
"0090014609","CST CLIFF DR","CST ROCKHILL RD"
"0090014633","CST OLD PLANK RD","CST TESSA WAY"
"0090014578","CST GRINDSTONE PKWY","CST GRAY OAK DR"
"0090014594","CST GARTH AVE","CST GARTH AVE"
"0090014489","CST GREEN MEADOWS RD","CST GRINDSTONE PKWY"
"0090014589","CST WORLEY ST","CST FAIRVIEW RD"
"0090014601","CST BLACKFOOT RD","CST PARKSIDE DR"
"0090014603","CST BROADWAY","CST FAIRVIEW AVE"
"0090014508","CST ASH ST","CST BUCKNER ST"
"0090023050","CST OLD HWY 63","CST GRINDSTONE"
"0090023057","PP WILLIAM ST","CST WILLIAM ST"
"0090023662","CST GRINDSTONE PKWY","CST SANDMAN"
"0090023925","CST HITT ST","CST ROLLINS"
"0090024721","CST US HWY 63 OLD","CST AMELIA"
"0090024722","CST ROCK QUARRY","CST ROLLING ROCK DR"
"0090024685","CST OAK ST","CST LYNN ST"
"0090024731","CST BROADWAY","CST BRICKTON"
"0090019952","CST MCBAINE AVE","CST ASH ST"
"0090026666","CST OLD PLANK RD","CST GLASGOW DR"
"0090023641","CST ROGERS ST","CST TENTH ST"
"0090023940","CST ROLLINS ST","PVT VIRGINA AVE"
"0090024702","CST 9TH ST","CST BROADWAY ST E"
"0090024710","CST WATERLOO","UNKNOWN"
"0090025526","CRD GILLESPIE BRIDGE RD","CST OLD COATS LN"
"0090023017","CST WHITEGATE","CST TOWNE"
"0090023048","CST VANDIVER DR","CST PARKER ST"
"0090030469","CST EAST BLVD","CST MEHL RD"
"0090023647","CST SOUTHAMPTON","CST EXECUTIVE"
"0090023649","CST BLUE RIDGE RD","CST OAKLAND GRAVEL RD"
"0090023005","CST OLD HWY 63","CST MCALESTER"
"0090031291","CST SUMMIT RD","CST WALTHER"
"0090031322","CST LOCUST","CST FIFTH"
"0090031325","CST MEXICO GRAVEL RD","CST TANZANITE DR"
"0090017463","CRD ST CHARLES RD","CST GRACE LN"
"0090031482","CST GARTH AVE","CST CARIBOU DR"
"0090023640","CST BERNADETTE DR","CST WORLEY ST"
"0090024711","CST CHAPEL HILL RD","CST FAIRVIEW RD"
"0090024736","CRD LOCUST GROVE CHURCH RD","CRD ELIZABETH ST"
"0090023810","CST ELM ST","CST 6TH ST"
"0090031303","CST SADDLEBROOK PL","CST AMERICAN PKWY"
"0090031358","CST BROWN SCHOOL","CST EDENTON"
"0090031371","CST FORUM BLVD","CST FORUM PLAZA DR"
"0090024674","CST UNIVERSITY AVE","CST WILLIAM ST S"
"0090024726","CST TRIMBLE RD","CST BROADWAY BLUFFS DR"
"0090031295","CST WALNUT","CST OLD HWY 63"
"0090031381","CST FORUM BLVD","CST MKT TRL"
"0090031392","PP CLAUDELL LN PKLT","WEST OF CLAUDELL LN"
"0090026706","CRD COATS LN","CRD GILLESPIE BRIDGE RD"
"0090038957","CST CHAPEL PLAZA CT","CST FORUM PLAZA CT"
"0090039005","CST ASH ST","CST PERSHING RD"
"0090031473","CST PRESTWICK DR","CST PRESTWICK CIR"
"0090031477","CST FORUM","CST FORUM PLAZA"
"0090039587","CST 9TH ST","PVT WOODSON"
"0090038938","CST PARKADE","LP 70 W"
"0090038949","CST BROWN STATION RD","CRD N BROWN STATION RD"
"0090038963","CST LAWRENCE CT","CST BROWN STATION RD"
"0090040430","CST BRICKTON","CST CONLEY RD"
"0090038999","CST CONGO CIR","CST TROPICAL LN"
"0090041471","CST NEW HAVEN","CST LENOIR"
"0090039590","CST MARYLAND AVE","PVT HOSPITAL"
"0090042548","CRD OLIVET RD","PP OLIVET RD"
"0090031308","CST GRINDSTONE","CST BEARFIELD"
"0090031310","CST BROADWAY ST","CST PARKWAY DR"
"0090031348","CST PARIS RD","CST HINKSON AVE"
"0090031307","CST LINCOLN DR","CST MCBAINE"
"0090031321","PP CLARK LN","NORTH OF CST CLARK LN W"
"0090031386","CST SOUTHAMPTON","CST EXECUTIVE"
"0090031414","CST PONDEROSA","CST NIFONG"
"0090038925","CST CREASY SPRINGS","CST PARK SIDE DR"
"0090038937","CST OAKLAND PL","CST EDRIS"
"0090040403","CST BLUFF POINTE DR","CST KAYS POINTE DR"
"0090040418","CST ARCTIC FOX","CST SMILEY LN W"
"0090048672","CST TENTH ST","CST ELM"
"0090048977","PVT HOSPITAL DR","UNKNOWN"
"0090039453","CST PARIS RD","CST WILKES BLVD"
"0090049438","CST HOSPITAL DR","CST MARYLAND AVE"
"0090040423","CST DERBY RIDGE RD","CST HIGH QUEST CIR"
"0090040435","CST RANGELINE RD","CST BLUERIDGE RD"
"0090034479","CST RICHLAND RD","CST ST CHARLES RD"
"0090044718","CST BROWN STATION RD","CST JENNE LN"
"0090038988","CST MEXICO GRAVEL","CST LOST TREE"
"0090039000","CST OLD PLANK","CST HICKAM"
"0090043121","CRD FARRAR RD","CRD CIRCLE DR"
"0090042245","CST SCOTTS BLVD","CST THORNBROOK PKWY"
"0090051050","CST ASHLAND RD","UNKNOWN"
"0090051054","CST ST CHARLES RD","CST KEENE ST"
"0090051097","CST FORUM BLVD","CST KATY LN"
"0090040453","CST SCOTT BLVD","CST MILLBROOK DR"
"0090023659","CST FAIRVIEW RD","CST ASH ST W"
"0090023661","CST PROCTOR DR","CST BEAR BLUFF DR"
"0090042549","CRD RICHLAND RD","CRD RICHLAND RD"
"0090023930","CST ASHLAND RD","PP AV14 PKLT"
"0090023942","PVT MONK","MO 740"
"0090055125","CST VANDIVER","CRD OAKLAND GRAVEL RD"
"0090038934","CST NEW HAVEN AVE","CST LEMONE INDUSTRIAL BLVD"
"0090038936","CST OLD HWY 63","CST BEARFIELD"
"0090050084","CRD BLUEBIRD LN","RT N"
"0090048664","CST BROWN STATION RD","CST STARK"
"0090044451","CST LYON ST","CST EIGHTH ST"
"0090039008","CST DISCOVERY PKWY","CST PONDEROSA"
"0090039009","CST GARTH","CST GARTH CT"
"0090044713","CRD ST CHARLES RD","CST RICHLAND"
"0090044727","CST QUEEN ANNE DR","CST OLD HWY 63 S"
"0090048939","CST 6TH ST","CST STEWART"
"0090057074","CST STEWART RD","CST WESTWOOD AVE"
"0090024729","CST PARK","CST ROGERS"
"0090024732","CST ROGER ST","CST TENTH ST"
"0090057081","CST BULL RUN DR","CST ST CHARLES"
"0090039451","CST WORLEY ST","CST FAIRVIEW RD"
"0090039461","CST BROWN STATION RD","CST PARIS RD"
"0090040404","CST GRINDSTONE PKWY","CST GREEN MEADOWS RD"
"0090040412","CST SUNSET LN","CST WEST BLVD"
"0090040455","CST CLIFF DR","CST ROCKHILL RD"
"0090051044","CST HOLLY AVE","CST CARPENTER AVE"
"0090051051","CST OLD HWY 63","CST CHINABERRY"
"0090053869","CST WORLEY ST","CST PARK DEVILLE PL"
"0090051035","CST BERNADETTE","CST WORLEY"
"0090048646","CST PARK HILL DR","CST GARTH AVE"
"0090048940","CST 6TH ST","CST STEWART"
"0090061629","CST STATE FARM PKWY","CST GRINDSTONE PKWY"
"0090061649","CST CORONA","CST JUBILEE"
"0090061652","CST CELTIC RD","CRD COATS LN"
"0090053841","CST FAIRVIEW","CST ASH"
"0090053865","CST MILLS RD","CST HIGHRIDGE"
"0090053868","CST ORR ST","CST PARK ST"
"0090053878","CST EIGHTH ST","CST HICKMAN AVE"
"0090051066","CST LINCOLN DR","CST MCBAINE AVE"
"0090051099","CST FAIRVIEW DR","CST WORLEY"
"0090053847","CST GRINDSTONE PKWY","CST BEARFIELD"
"0090054425","CST CREASY SPRINGS","CST TEXAS AVE"
"0090054434","CST TEXAS AVE","CST KATHY DR"
"0090056113","CRD ST CHARLES RD","CRD SLICK ROCK DR"
"0090056897","CRD NEW HAVEN RD","CRD BEN WILLIAMS RD"
"0090057078","CST WALES DR","CST SCOTT BLVD"
"0090057180","CST SPENCER AVE","CST WORLEY ST"
"0090057169","CST TENTH","CST PARK"
"0090054448","CST EIGHTH","CST FAIRVIEW"
"0090061260","CRD RANGELINE RD","CRD TURNER FARM RD"
"0090061586","CST ASH ST","CST BUCKNER ST"
"0090061609","CST FAIRVIEW","CST ASH"
"0090061530","CST ROCK QUARRY","CST STAGS WAY"
"0090048655","CST ROGERS","CST EIGHTH ST N"
"0090061639","CST MCBAINE AVE","CST LINCOLN DR"
"0090057189","CST FORUM BLVD","CST KATY LN"
"0090057207","CST FAIRVIEW AVE","CST SEVENTH ST"
"0090067127","CRD CREASY SPRNGS RD","LP 70 W"
"0090067163","CST CRAIG ST","CST GARTH AVE"
"0090061585","CST GRAND","CST FOURTH"
"0090061656","CST FORUM BLVD","CST WOODRAIL"
"0090067084","CST COMSTOCK DR","CST CANNERY ROW CT"
"0090031315","CST GRAND","CST THIRD"
"0090031351","CST BROADWAY","CST BROADFIELD"
"0090031374","CST CORPORATE LAKE DR","MO 163"
"0090068166","CRD PHILLIPE RD","UNKNOWN"
