year,number of STARS reports,number of 911 calls regarding collisions
2005,3469,6095
2006,3462,6009
2007,3158,6194
2008,2906,5659
2009,2780,5364
2010,1847,5738
2011,1585,5492
2012,1556,5401
2013,1561,5613
2014,1524,5838
2015,1380,5887
