VehicleId,CrashId,VehicleLicenseState,VehicleLicenseYear,VehicleYear,VehicleMake,VehicleModel,VehicleColorCd1,VehiclecolorCd2,VehicleUsageTypeCd,NumberOfOccupants,VehicleBodyTypeCd,VehicleBusTypeCd,MCATVNumberOfWheels,OtherVehicleTypeCd,CVECargoBodyTypeCd,VehiclePullingOtherUnitCd,GCVWRatingCd,VehiclePublicConveyanceInd,EmergencyVehicleInvolvedInd,EmergencyVehicleOnRunInd,NoVehicleDamageQualCntl,InitialVehicleDamage,InitialImpactNA,InterstateCarrierInd,HazardousMaterialPresent,HazardousMaterialInvolved,PlacardDisplayed,HazmatClass,HazmatPlacardDiaNumber,HazardousMaterialReleased,DriverPresenceCd,OwnerDriverInd,OperatorLicenseState,OperatorLicenseType,DriverLicenseClass,MotorcycleQualified,OperatorLicenseStatus,InsuredDriverVehicleInd,InsuranceInd,InsuranceExpired,PreCrashTravelDirection,TrafficCondition,TrafficCntlMalfunctionInd,WorkZoneInd,WorkerPresentInd,TrafficCntlElectricalSignal,PedalcycleToFromSchoolInd,TowedFromScene,TowedBecauseDisabled,InitialImpactInd,AnimalCd1,AnimalCd2,AnimalCd3,AnimalCd4,VehicleActionCd1,VehicleActionCd2,VehicleActionCd3,VehicleActionCd4,VehicleActionCd5,VehicleActionCd6,VehicleActionCd7,VehicleActionCd8,VehicleActionCd9,VehicleActionCd10,VehicleActionCd11,VehicleActionCd12,VehicleActionCd13,VehicleActionCd14,VehicleActionCd15,TrafficControlOtherCd1,TrafficControlOtherCd2,TrafficControlOtherCd3,TrafficControlOtherCd4,TrafficControlOtherCd5,TrafficControlOtherCd6,TrafficControlOtherCd7,TrafficControlOtherCd8,TrafficControlOtherCd9,TrafficControlOtherCd10,DamageCd1,DamageCd2,DamageCd3,DamageCd4,DamageCd5,DamageCd6,DamageCd7,DamageCd8,DamageCd9,DamageCd10,DamageCd11,DamageCd12,DamageCd13,DamageCd14,DamageCd15,DamageCd16,DamageCd17,DamageCd18,DamageCd19,DamageCd20,DamageCd21,DamageCd22,DamageCd23,DamageCd24,DamageCd25,FixedObjectCd1,FixedObjectCd2,FixedObjectCd3,FixedObjectCd4,FixedObjectCd5,FixedObjectCd6,FixedObjectCd7,FixedObjectCd8,VisionObstructedCd1,VisionObstructedCd2,VisionObstructedCd3,VisionObstructedCd4,VisionObstructedCd5
0150020794V1,0150020794,MO,2015,2011,TOYT,,UNK,NA,1,1,3,N,NA,NA,NA,N,NA,N,NA,,N,24,N,NA,NA,,NA,NA,NA,NA,1,N,NY,1,NA,NA,1,NA,Y,V,N,NA,N,N,NA,13,NA,Y,Y,,,,,,3,36,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,12,,,,
0150020795V1,0150020795,MO,2015,2010,FORD,,NA,NA,1,2,19,N,NA,NA,NA,N,L,N,NA,,N,14,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,E,NA,N,N,NA,12,NA,N,N,,,,,,1,8,12,1,34,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020781V1,0150020781,MO,2016,2006,FORD,,NA,NA,1,3,3,N,NA,NA,NA,N,NA,N,NA,,N,U,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,W,NA,N,N,NA,12,NA,N,N,,,,,,1,8,34,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020786V2,0150020786,MO,2015,2005,CHEV,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,8,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,N,NA,N,N,NA,12,NA,N,N,,,,,,12,34,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020788V1,0150020788,MO,2015,2005,CHEV,,UNK,NA,1,1,3,N,NA,NA,NA,N,NA,N,NA,,N,1,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,S,NA,N,N,NA,13,NA,N,N,,,,,,12,9,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020796V1,0150020796,IL,2015,2005,LEXS,,NA,NA,1,1,3,N,NA,NA,NA,N,NA,N,NA,,N,7,N,NA,NA,,NA,NA,NA,NA,1,N,IL,1,F,NA,1,NA,Y,V,N,NA,NA,N,NA,12,NA,N,N,,,,,,1,12,8,3,8,11,35,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150021222V1,0150021222,MO,2015,2001,TOYT,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,2,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,N,NA,N,N,NA,13,NA,N,N,,,,,,1,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150026154V1,0150026154,MO,2015,2013,MERC,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,1,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,S,NA,NA,N,NA,12,NA,Y,Y,,,,,,1,20,36,36,22,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,12,,,,
0150026255V2,0150026255,IL,2015,1997,TOYT,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,4,N,NA,NA,,NA,NA,NA,NA,1,N,IL,1,U,NA,1,NA,Y,V,S,NA,N,N,NA,17,NA,N,N,,,,,,1,34,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150026261V1,0150026261,MO,2017,2003,MAZD,,UNK,NA,1,1,3,N,NA,NA,NA,N,NA,N,NA,,N,8,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,N,NA,NA,N,NA,12,NA,N,N,,,,,,1,8,12,11,34,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150026263V1,0150026263,MO,2015,2002,HOND,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,1,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,E,NA,N,N,NA,17,NA,N,N,,,,,,12,1,34,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150026264V2,0150026264,MO,2016,2012,HOND,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,13,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,W,NA,NA,N,NA,12,NA,N,N,,,,,,1,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150026265V2,0150026265,MO,2016,2004,FORD,,UNK,NA,1,1,19,N,NA,NA,NA,N,L,N,NA,,N,8,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,N,3,NA,N,NA,12,NA,N,N,,,,,,1,8,12,34,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
